project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2004797,AWE-SELVAMOJADA-CAM1,d3182c52-d0cb-4f99-84b9-04009bf68cfa,12090018.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/d3182c52-d0cb-4f99-84b9-04009bf68cfa.JPG,0,Diego Lizcano,07843615-e1fc-49d8-9821-fd1d7ff2e773,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,Nine-banded Armadillo,,2022-12-09 19:47:21,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,effa74cc-30f8-4bb5-9409-404cb28faccc,12100019.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/effa74cc-30f8-4bb5-9409-404cb28faccc.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:08,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,cb234870-9998-4ebc-9276-06681ee8f626,12100020.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/cb234870-9998-4ebc-9276-06681ee8f626.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:09,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,6e2b8c9c-416e-47fc-8014-955f39f1e1b5,12100021.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/6e2b8c9c-416e-47fc-8014-955f39f1e1b5.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:10,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,d8b1e593-55f0-4e64-aeb1-6764497170cc,12100022.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/d8b1e593-55f0-4e64-aeb1-6764497170cc.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:11,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,f95a0a1d-e021-4ae2-8724-da4d5876045f,12100023.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/f95a0a1d-e021-4ae2-8724-da4d5876045f.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:12,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM1,2da32dec-a738-4bf8-aa2c-920894dbec28,12100024.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211933/prod/directUpload/2da32dec-a738-4bf8-aa2c-920894dbec28.JPG,0,Diego Lizcano,32c0147f-1967-4644-b107-8133ae1f020a,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,,2022-12-10 21:07:13,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM10,5792c89a-11a1-4506-878b-24a64bad815a,DCIM0101.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211636/prod/directUpload/5792c89a-11a1-4506-878b-24a64bad815a.JPG,0,Diego Lizcano,df1ec79b-6867-4737-9f73-17153f6c4e49,Aves,Galliformes,Cracidae,Crax,rubra,Great Curassow,,2022-12-16 14:26:49,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM10,235049ad-0fe1-46e7-bbeb-0874792b351a,DCIM0102.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211636/prod/directUpload/235049ad-0fe1-46e7-bbeb-0874792b351a.JPG,0,Diego Lizcano,df1ec79b-6867-4737-9f73-17153f6c4e49,Aves,Galliformes,Cracidae,Crax,rubra,Great Curassow,,2022-12-16 14:26:50,1,,,,,,,false,,,CC-BY-NC
2004797,AWE-SELVAMOJADA-CAM10,8a2efe10-83c9-422b-8490-d5517bbf9640,DCIM0103.JPG,gs://145625598251_2004797_435_awe_selva_mojada__main/deployment/2211636/prod/directUpload/8a2efe10-83c9-422b-8490-d5517bbf9640.JPG,0,Diego Lizcano,df1ec79b-6867-4737-9f73-17153f6c4e49,Aves,Galliformes,Cracidae,Crax,rubra,Great Curassow,,2022-12-16 14:26:50,1,,,,,,,false,,,CC-BY-NC
